miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT003105,hsa-miR-122-5p,hsa,SLC7A1,6541,hsa,Luciferase reporter assay//Western blot,Functional MTI,17179747
MIRT003112,hsa-miR-122-5p,hsa,ADAM17,6868,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003111,hsa-miR-122-5p,hsa,NUMBL,9253,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003107,hsa-miR-122-5p,hsa,FOXJ3,22887,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003106,hsa-miR-122-5p,hsa,XPO6,23214,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003104,hsa-miR-122-5p,hsa,AP3M2,10947,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003103,hsa-miR-122-5p,hsa,G6PC3,92579,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003102,hsa-miR-122-5p,hsa,GALNT10,55568,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003727,hsa-miR-122-5p,hsa,DSTYK,25778,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003100,hsa-miR-122-5p,hsa,TPD52L2,7165,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003099,hsa-miR-122-5p,hsa,AKT3,10000,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003098,hsa-miR-122-5p,hsa,FUNDC2,65991,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003097,hsa-miR-122-5p,hsa,MAPK11,5600,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003728,hsa-miR-122-5p,hsa,FAM117B,150864,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003095,hsa-miR-122-5p,hsa,ATP1A2,477,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003094,hsa-miR-122-5p,hsa,DUSP2,1844,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003093,hsa-miR-122-5p,hsa,AACS,65985,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003092,hsa-miR-122-5p,hsa,TBX19,9095,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003091,hsa-miR-122-5p,hsa,UBAP2,55833,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003110,hsa-miR-122-5p,hsa,EGLN3,112399,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003090,hsa-miR-122-5p,hsa,NCAM1,4684,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003089,hsa-miR-122-5p,hsa,MECP2,4204,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003088,hsa-miR-122-5p,hsa,FOXP1,27086,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003087,hsa-miR-122-5p,hsa,RAB11FIP1,80223,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003086,hsa-miR-122-5p,hsa,RAB6B,51560,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003109,hsa-miR-122-5p,hsa,TRIB1,10221,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003085,hsa-miR-122-5p,hsa,ALDOA,226,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
