source,target,mor
SRF,hsa-miR-210-3p,1
MYOG,hsa-miR-133a-1-3p,1
MYOG,hsa-miR-133a-2-3p,1
MYOG,hsa-miR-133b-3p,1
MYOG,hsa-miR-206-3p,1
NAB2,hsa-miR-142-3p,-1
NANOG,hsa-miR-17-3p,1
NANOG,hsa-miR-18a-3p,1
NANOG,hsa-miR-19a-3p,1
NANOG,hsa-miR-19b-1-3p,1
NANOG,hsa-miR-20a-3p,1
NANOG,hsa-miR-302a-3p,1
NANOG,hsa-miR-302b-3p,1
NANOG,hsa-miR-302c-3p,1
NANOG,hsa-miR-302d-3p,1
NANOG,hsa-miR-367-3p,1
NANOG,hsa-miR-92a-1-3p,1
NCOR1,hsa-miR-122-3p,-1
NCOR1,hsa-miR-200c-3p,-1
NCOR1,hsa-miR-30d-3p,-1
NCOR2,hsa-miR-122-3p,-1
NEUROD1,hsa-miR-7a-2-3p,1
NEUROG3,hsa-miR-7a-2-3p,1
MYOG,hsa-miR-133a-3p,1
MYOG,hsa-miR-1-3p,1
MYOD1,hsa-miR-378-3p,1
MYOD1,hsa-miR-22-3p,1
MYCN,hsa-miR-93-3p,1
MYCN,hsa-miR-96-3p,-1
MYF5,hsa-miR-1-3p,1
MYF5,hsa-miR-133a-3p,1
MYF5,hsa-miR-206-3p,1
MYOCD,hsa-miR-1-1-3p,1
MYOCD,hsa-miR-1-2-3p,1
MYOCD,hsa-miR-143-3p,1
MYOCD,hsa-miR-145-3p,1
NF1,hsa-miR-217-3p,1
MYOD1,hsa-miR-1-3p,1
MYOD1,hsa-miR-1-1-3p,1
MYOD1,hsa-miR-1-2-3p,1
MYOD1,hsa-miR-133a-3p,1
MYOD1,hsa-miR-150-3p,1
MYOD1,hsa-miR-182-3p,1
MYOD1,hsa-miR-206-3p,1
MYOCD,hsa-miR-206-3p,1
MYCN,hsa-miR-92b-3p,1
NFATC1,hsa-miR-125a-3p,-1
NFATC1,hsa-miR-9-1-3p,1
NFE2L2,hsa-miR-29b-1-3p,1
NFE2L2,hsa-miR-29b-2-3p,1
NFE2L2,hsa-miR-29c-3p,1
NFE2L2,hsa-miR-93-3p,-1
NFIA,hsa-miR-223-3p,-1
NFIB,hsa-miR-21-3p,-1
NFKB1,hsa-let-7a-3-3p,1
NFKB1,hsa-let-7b-3p,1
NFKB1,hsa-miR-100-3p,1
NFKB1,hsa-miR-10b-3p,-1
NFKB1,hsa-miR-125b-3p,-1
