"","GSM782710_CEBPD","GSM782711_CEBPZ","GSM782714_ETS1","GSM782715_FOXM1","GSM782716_FOXO3","GSM782720_HSF2","GSM782724_MITF","GSM782732_RELA","GSM782737_SP1","GSM782738_SP100","GSM782739_STAT1","GSM782740_STAT3","GSM782741_STAT6","GSM782743_TP53","GSM782744_UNTREATED","GSM782745_UNTREATED"
"CEBPD",-2.4385715884055,-0.374058113903837,-1.41297639449808,-0.331460972265849,-1.16723190705077,-1.7933977619749,-0.433199963151231,-0.168468316983125,-2.28287125004858,0.430072747771987,-0.128021436686918,-1.72891643031876,-0.107800456788815,-2.56151109514775,0.295900478103063,-0.295900478103063
"CEBPZ",0.386165536289142,-3.51561578722992,0.302993179922899,0.621369392127206,0.451955853423334,0.320982321522034,0.0764837111394811,0.464426845377596,0.171376834196269,0.562878392317462,0.586678400270351,0.423847538787856,0.538075440149024,0.730283149501537,-0.1911885541647,0.1911885541647
"ETS1",-0.208130770096901,0.104457883838226,-3.68440552639923,-0.261007261846224,-0.29709230704373,-0.135077416828666,-1.12544958673552,0.348310677926724,-0.545906943897537,-0.103005030051619,0.452331194470441,-0.221935963964492,0.219011843625355,0.757551512267226,0.049141117640081,-0.049141117640081
"FOXM1",0.176595189741441,-0.616298012632025,-0.0576909139746048,-3.21451331281112,0.707731516531712,0.363916753665809,-0.783939364076104,-0.139722959658017,0.377181050962188,-1.03973734510264,0.369792512042525,0.573306633009101,-0.775650698604211,0.942090858421027,-0.455222497540267,0.455222497540267
"FOXO3",-0.233446325350707,-1.23878837627799,-0.507083381159175,-0.523197009249146,-3.13857163054379,0.826884239228666,-0.759417299848093,1.00208351824367,-0.958251760531316,0.672557338665087,-0.0427321239915983,0.141687545875303,0.00431205944476176,-0.00629234910151029,0.627891206413278,-0.627891206413278
"HSF2",0.495666056134669,-0.183848012675004,0.0940645825036221,0.632651800860207,-1.02281325003204,-3.3961101809687,-0.093300891146326,0.242476873729942,0.83701188004115,0.0485079630186923,0.291823147913395,0.912409106310963,-0.177068512882164,-0.0157728046573345,0.248278879577303,-0.248278879577303
"MITF",-0.59582823837053,-0.175608175276359,-1.09910399131494,-0.670317171730879,-0.758767470929554,-0.269118385716678,-4.22832018395631,-0.643607434274028,-1.41822395220962,-0.322396456650264,-0.527522579122654,-0.468707058274749,-0.492357969223903,-0.312759553964911,0.134532015773976,-0.134532015773976
"RELA",0.748556418684151,0.530350522592696,0.0189468092157496,-0.932173146485748,1.18095607983193,1.06753728359278,1.25249796735215,-2.88722549943606,0.830591569735558,-0.0803408559575211,0.366894726453374,0.23809607671613,0.48851019251954,0.709179802792573,-0.0174596458933042,0.0174596458933042
"SP1",-0.0127335582933057,-0.49081064943047,0.133815008166301,-1.82183623370061,0.212391618444951,0.268810463116307,0.989511034986684,-0.250146192048167,-3.19482076256217,-0.826585363771237,0.0187678256155157,0.49654885312075,-0.664489029736716,0.343912591519978,-0.0480413715741518,0.0480413715741518
"SP100",-0.390812885134855,0.467599053453134,-0.665874453517194,1.13613554166473,-0.322361598331223,-0.689305211486987,-0.464882069992197,0.447031298088623,0.333151665039321,-3.30396010081862,0.165791807053726,0.329368145587999,0.947012880578604,0.186133138496504,-0.080557115005378,0.080557115005378
"STAT1",0.158582083457403,0.185721096647601,-0.00348338553906708,0.430777977747764,-0.175430955102977,-0.109083946285264,-0.365078684351229,0.308434853201189,-0.2935303019879,0.468804002786052,-3.85231430554275,-0.0728923488570147,0.0747166445317468,-0.230845377165906,0.118820483145602,-0.118820483145602
"STAT3",0.229111443520158,-0.546535324249097,-0.402527184874812,-0.106907184680412,-0.754762030134345,-0.536566993702116,0.264047217305795,0.26072641335981,0.203663360165453,0.0477135007045587,0.443947550594386,-3.57853295746835,0.362183288573924,-1.48366849061984,0.172575091191842,-0.172575091191842
"STAT6",-0.972110958717833,0.125453648519274,-0.135142248101571,-0.00737601085220347,-0.147312549241865,0.947149423229726,1.10181872046883,0.0478297192861598,-0.159205703668145,0.944303458091323,-0.0578269270687573,0.914514262953316,-3.1858785730712,-0.0772742790280921,0.0179113579871004,-0.0179113579871003
"TP53",-0.796229585390408,-0.854465887475087,-0.327276957848118,-0.947712215691801,-1.43320433677834,-1.49403712766064,0.245511717907542,-0.492582551389128,-0.13310805337216,-0.434310347622224,-0.55095897279905,0.375000310415625,-0.699543167291058,-3.84887157829564,0.315125787697789,-0.315125787697789
"A2M",-0.867482772764645,-1.80475628243405,-1.0835160110624,-1.33840303439011,-3.48379430633201,-2.53333276674064,-0.507368719129262,-0.117142491897693,0.0896692155395881,-1.09686942443231,-1.27232195141264,-1.38329607890383,-1.61423857634893,-2.16047619229771,0.281418605815173,-0.281418605815173
