,gene:1004,gene:1007,gene:1016,gene:1079,gene:118,gene:1244,gene:1257,gene:1271,gene:1272,gene:1288,gene:1357,gene:136,gene:1369,gene:137,gene:139,gene:140,gene:1408,gene:1431,gene:1434,gene:1435,gene:1471,gene:150,gene:151,gene:1548,gene:1558,gene:156,gene:157,gene:163,gene:1710,gene:1740,gene:1775,gene:1784,gene:1787,gene:1815,gene:1816,gene:2075,gene:2081,gene:2142,gene:2148,gene:2153,gene:2154,gene:2160,gene:2162,gene:2194,gene:2206,gene:2212,gene:2219,gene:2220,gene:2226,gene:2231,gene:2233,gene:2234,gene:2235,gene:2262,gene:2323,gene:2326,gene:2327,gene:2341,gene:2342,gene:2385,gene:2439,gene:2453,gene:2454,gene:2455,gene:2522,gene:2573,gene:2574,gene:2575,gene:2576,gene:2577,gene:2606,gene:2628,gene:2702,gene:2714,gene:2735,gene:2737,gene:2739,gene:2757,gene:2762,gene:2764,gene:2854,gene:2855,gene:2863,gene:2865,gene:2879,gene:2888,gene:2892,gene:2893,gene:2895,gene:2931,gene:2956,gene:2957,gene:2964,gene:2968,gene:2970,gene:2973,gene:2976,gene:2987,gene:3044,gene:34,gene:344,gene:346,gene:347,gene:348,gene:349,gene:353,gene:359,gene:371,gene:478,gene:479,gene:480,gene:501,gene:515,gene:517,gene:531,gene:577,gene:643,gene:649,gene:712,gene:87,gene:885,gene:888,gene:90,gene:941
ABL1,0.12030262697699999,0.03418928292289499,0.08538063428609999,0.05968861107704999,0.15979762929555,0.10382560537994999,0.03524074324101,0.12699586790774997,0.0796264644942,0.15037307750565,0.01744407614475,0.021620502299069998,0.15119565957045,0.21122462699234998,0.18909821069234997,0.11850257793329999,0.18257547332249996,0.07310567945519998,0.05511403958471999,0.040403552018445,0.19515629331989995,0.05708953809414,0.10267177784759998,0.18106241691374997,0.023791168815794995,0.0719681213466,0.0660486542094,0.027257141773799995,0.05162971471672499,0.04340988121666499,0.15809259368655,0.11019931482824998,0.028491145026389997,0.19570489828874998,0.03815609382161999,0.05106340861483499,0.038921993214074996,0.05662761661502999,0.03904817886468,0.07266510346004999,0.07144945211744999,0.028716834472649996,0.06996112523279999,0.13674125273399998,0.058081452321329996,0.05125948770986999,0.04109057724455999,0.17667357716294999,0.19490183953244997,0.20305802704679995,0.06673912855335,0.08402701823009999,0.05292339421562999,0.09550802518199998,0.015090736538159998,0.05235194697583499,0.14478550661295,0.20562534211454997,0.14472107969489997,0.06764631162164998,0.18918281169584997,0.23378511151799997,0.06950297826,0.11236119585614998,0.07578622971224999,0.09365461242839998,0.15634460679884996,0.17420518019159997,0.45251970451334994,0.05961995410882499,0.1412641525365,0.30796001750205,0.12354479774189998,0.03371363005013999,0.022447574724824997,0.05366541009402,0.08975841082875,0.0733100234175,0.06601025836934998,0.10142814309614999,0.08393851256489998,0.1084077258849,0.28581603022439994,0.07050973020164998,0.11641944091634998,0.05856231140968499,0.052405440841124994,0.19894121206109996,0.05325568092629999,0.07543220705145,0.044461862156339994,0.13842871736534998,0.19919696740244996,0.19163233613564998,0.3096644023340999,0.14343969988035,0.10706387148314998,0.07669146044969999,0.07310893333994999,0.4970523712018499,0.09415505990294998,0.05880524644511999,0.13325764372065,0.17898448611239998,0.07606150836209999,0.03311062012826999,0.040070614530825,0.18627514028324998,0.14847801502725,0.17381536479854998,0.23370766906094995,0.15074271881324997,0.014906176195139998,0.13538308123934997,0.06083196110050499,0.08078354591129999,0.064837102761585,0.05723238363466499,0.04440212083232999,0.04744580462748,0.11697715676249999,0.12726203568029998,0.07018434172664999,0.14607664808174997
ADNP,0.07422233905673867,0.05570492622146467,0.13650982180819732,0.1842495972305,0.60676032009418,0.3349236560728333,0.36429152725126,0.27551027442751996,0.13516154725493068,0.5018715638736867,0.27243550804370664,0.09244908491039934,0.29824708621215335,0.47312529979449336,0.16222859666323733,0.9115193972980199,0.8673765382228867,0.24533518952304667,0.6310712861949,0.36350007257843336,0.2872174999640667,0.36501819470529334,0.44289068068896664,0.7243246081212933,0.07146187823436867,0.18800375390868668,0.18493424054261334,0.07730953758253667,0.07434158255943667,0.28553303227543997,0.42563626841898,0.50555568031534,0.2608631099624867,0.6033230954863067,0.12668055011370066,0.43369614863805334,0.22928897133325998,0.07792624186521267,0.12222844247845933,0.33411118932904665,0.2917526052796,0.037673417527140665,0.21170712095748,0.4613795521278533,0.15634679269975935,0.15233138593930334,0.33003659856872003,0.1755068247052267,0.28194522115902,0.08897894139135534,0.11632037342628132,0.16111618260649668,0.28711419061518,1.5739214323001935,0.016722211532688134,0.12363520062923132,0.30867782843788,0.13539408084022134,0.30577466063357334,0.47414263423013997,0.6442966338583067,0.2658797419041867,0.21459628071448,0.12092464347539134,0.04218943687821867,0.36267885080508,0.3960162523890333,0.3793116559758333,0.21233573208036666,0.11989154998652467,0.14275723580637933,0.4896845627168867,0.21864285538019332,0.06959688183607733,0.04468497050590133,0.128142640051334,0.07135664277897732,0.20640157304008,0.24025902338029334,0.31420400310036,0.28188043394022666,0.23114153558956665,0.20342136097558666,0.34585518598977333,0.3266764182210333,0.23726655427440665,0.15990676282215735,0.30450868335823333,0.087596172021596,0.2781998195104,0.32346857538780666,0.23546301818367332,1.1703163202827733,0.34238994528728667,0.2879564244594933,0.22334080424566669,0.10886161353725532,0.13171241580684667,0.34778479450626665,0.5748850084478601,0.1468274490519227,0.19684458276510666,0.19617219649438664,0.3907492266017267,0.164018650008438,0.13229795218426532,0.11891256258038,0.10669386821654867,0.5044350365308067,0.67175065557346,0.19492723129000666,0.35999981175768,0.07085322857889399,0.2375151971141,0.4009348279995867,0.31582193256428,0.36915932369032667,0.173992554791376,0.06856623975548932,0.4395234963176267,0.4527313339219,0.32771651573355337,0.5132793673990533,0.23426533013895334
ADNP2,0.39656881348535905,0.2311342945341114,0.8498043123640076,0.1914901246581378,0.5165571698029847,0.30341490539140853,0.1392999961855332,0.3476984979302714,0.6508538774235333,1.2093959818103674,0.29281406691915235,0.14277976179945895,0.546333794280139,1.1426369168473132,0.5255108132890448,0.5193616384370391,0.22094684374247456,0.5778132264359496,0.2273920899762435,0.16272432707203027,0.6742403387146885,0.7432583382809991,0.27690089220524094,0.10712858324211333,0.17688940948628237,0.33500291470868854,0.5682637326735324,0.10792357992194627,0.2126634656117301,0.2487711978919378,0.4996085397199371,0.6587985477749618,0.1151177437475099,0.596107154031839,0.38689750144422,0.1922848565156257,0.11910782202034238,0.31096499044871617,0.14029625784760238,0.33528892284134,0.5618259014654247,0.09744747277420751,0.25007703687536764,0.44668379406217046,0.25866654963698715,1.1887027637683465,0.5529490564594286,0.4840634680656419,0.6276474953270105,0.22061263794302446,0.33416872432178857,0.38068212100595233,0.18202563886848094,0.17801834714322037,0.07807995539149495,0.30915360560859045,0.638595251071279,0.38199299161393807,0.5606633313706657,0.7087943582965018,0.5458915409639095,0.8441079837220333,0.23158475734303743,0.25579243272618535,0.21322303522681568,0.5771776528078352,0.381831449983459,0.5813909763175428,2.2995609992099455,0.20980391392990588,0.15783093978024038,0.5827521631710876,0.5569213916351429,0.11352298358563313,0.06003125328711952,2.3555894627516705,0.35533067791454376,0.5249282041299399,0.584372875922779,0.1532730823996258,0.3178847983248104,0.5106383903911704,0.12410316591497561,0.6291914095986381,0.28278259648874854,0.30956143201996383,0.23855752968814123,0.8610221869002248,2.2510270080330685,0.3565621018190152,0.22851387742986523,0.3237320757034619,0.7489096471243152,0.4005305557672714,0.54772940803854,0.47480792710622755,0.11154078833295171,0.15996540788132418,0.38922793808063905,1.0759149270125656,0.33376884258076667,0.2502838631268498,0.7673015589878723,0.4199181996482076,0.30921981119485237,0.09283718056927352,0.4791669029057114,0.4885760408252533,0.5614048339367991,0.21599281213366875,0.23553802530990825,0.6905401540523695,0.6098726195274142,0.5248408127560742,0.20204965084456655,0.17374252556008152,1.001301231295399,0.11928472334683418,0.09093337273072619,0.8515468433944209,0.6649503708504181,0.5162340865420266,0.8846575811957247,0.7019804793584267
AEBP1,0.06298467604205454,0.04250912794422137,0.05039731312844864,0.09484762055713636,0.14375744002388183,0.1264141822544591,0.09544448129203636,0.09662796501338182,0.13730305151071365,0.08946819563169546,0.04463412620218909,0.014179537553256818,0.06422446737990001,0.20777152167304092,0.03626277047964954,0.08692411514074092,0.36204466502200905,0.06888417858898636,0.017454900416319544,0.16536676757431362,0.06633293167411364,0.08076252623337273,0.08774467067937274,0.024393278487676365,0.34218906378184094,0.06257465421644999,0.11974838423570455,0.03472065842994136,0.04280878684148591,0.05438291979054546,0.1776126503882182,0.06012066591189546,0.04784668047848318,0.08099338746102272,0.1713512434334182,0.03471154683381682,0.09936451517528183,0.03288211237373182,0.012738574458279545,0.06424084777742728,0.045225714496635,0.028995146417994548,0.039088286675619546,0.08148275183715,0.05700327150748637,0.0876126037243091,0.045443164273809546,0.06400947466235454,0.08537104870018636,0.043217273004822275,0.03335704152453818,0.10447622297863636,0.07711225702190454,0.07191506401895455,0.02888201929757182,0.045419105564941366,0.05954991143555455,0.06339674541735,0.11357399814276818,0.06958546435812274,0.20423182014488184,0.1176624429880909,0.12362797901255455,0.05100297832701955,0.03472157982730228,0.054033300680822724,0.12253407559018636,0.10868240193118636,0.19075996695354544,0.0727417622066591,0.03137096951309864,0.17182371552459544,0.056473468024963634,0.042740757003005454,0.01682563720756091,0.021993652627415455,0.10052086886322273,0.09201074046038182,0.11790917272584546,0.03222725479383682,0.053026418120318185,0.12604818274720908,0.029587553732316817,0.15086448500102728,0.03545613827891591,0.16634037745234093,0.16949206831407274,0.09619746769086818,0.08435955915287727,0.04737134181773864,0.12420180481343181,0.09652661130368181,0.1265605820573591,0.07103257010217272,0.11732664483878183,0.1424900067652091,0.03172238022880091,0.07069421251575,0.04938259869037637,0.07109502036774545,0.03876963675497182,0.041326923941432725,0.09229739741710909,0.09297923146418183,0.06238627964488636,0.029481081148389546,0.1525296547871591,0.0846661797190909,0.08147046653900454,0.12536225360075454,0.09216174725008637,0.06494213354656364,0.026289719011396366,0.11967160112229545,0.11009111611853183,0.03991923352893273,0.7245561713735454,0.018966862296829094,0.2359417103205682,0.03614800531947409,0.15716837861191363,0.07301408631555,0.04519233943667318,0.0569270002815
AEBP2,0.9277122272020675,0.2641490356891081,1.001695656145716,0.16128673022224593,1.0315031621050674,1.179220196546824,0.7377785993703242,0.5622633532526351,0.6753548581424729,1.5514499925894998,0.30666684477628914,0.21190238785130538,0.8415909477115134,1.1963152580345269,0.37547036302197295,0.5753005682034864,1.7101485519159458,0.45454305244191884,0.14901897148365945,1.3440715504462972,1.4648683241778782,0.20217569044450268,0.6025099103292162,0.32052776331615135,0.6031630201939865,0.7492918913033783,1.1640844646534323,0.15875744628146618,0.2269820879147689,0.38925704830944585,0.09974879155415405,0.42344360237848644,0.2637457492698783,0.7610871268392567,0.4168768146671351,0.41855063175225676,0.411412819022527,0.47296931600371617,0.3847495195706216,0.5453824261468242,0.5671313415343107,0.23040038643103644,0.30393341939143914,1.4278409206424052,0.09673734836348108,1.3580652323029323,0.1524929449392189,0.5900722716476621,0.3415636112119378,0.18352244443789997,0.2850931626913175,0.5154214572137837,1.9081764593832022,0.3664303231997702,0.10813072504267568,0.4138932089461081,0.9956035329808918,0.3412656075304716,0.41877904175960806,0.20012000037834052,0.8623512760359323,0.25204116395566756,1.0724635004546215,0.6374352280157837,0.35479747290349317,1.1877177626015674,1.1883673035599729,0.3719799725971351,0.5682733915710675,1.2087850168733647,0.0873953790628108,0.9594112535347972,0.8727689137149728,0.1461734824389527,0.0997473639916081,0.8909489227375945,0.9566060931320134,1.1199049727627701,1.4337189094253375,0.5689621904994864,2.118256563644608,0.5643975592588242,0.5261852788102162,0.48041405468082427,0.45513192199212155,0.7531213278328783,0.048574956969629726,0.25390127795303513,0.2833451123538067,0.41219797842279726,0.4829693916380675,0.6867432383527566,0.4346214171132432,1.0422741215142297,0.9436937899039324,0.4102136664839324,0.41140925011616214,0.6092872635160945,0.6758116781571756,0.9564954570347025,0.4647751069899864,0.21933499224677294,1.0238121688887836,0.7266614560437703,0.6539628333914729,0.12705627860491756,0.4299568564943648,0.41994250523455406,0.8846426651908782,0.957487613004135,0.4474944623713108,1.2409872590035405,0.3237683302954486,0.7488600536332296,0.7286457679826351,0.5105391933066485,0.4157918671322162,0.3872584607451216,0.48667034753843236,0.8489750149804188,0.2021046692078419,0.48362607040920264,1.1003223835387566,0.995756995954581
AHR,0.0464668745247,0.06366745238560399,0.12595698748536,0.055067469183416,0.04587307380394599,0.11417574883211998,0.054529846031171995,0.16048135169756,0.10689406590429999,0.26755732591894,0.042007216337732,0.034320214163913995,0.07828860088313999,0.08800464511306,0.10786933906646,0.08027507027848,0.08282713696221998,0.14741681865618,0.036801351890405995,0.08164855450449998,0.2785031620908,0.07209852072193199,0.20075034999032,0.10391932989557998,0.08792897736771998,0.09989976754463999,0.056575473845596,0.04944397992746599,0.03994844220795599,0.13418795667289998,0.14299445931742,0.18706060264906,0.034130662640234,0.24492426253501998,0.1415483646287,0.16688635882836,0.033736043883475994,0.031524482053766,0.061463457330428,0.06343754473107599,0.08008093283083999,0.038855845824486,0.05193253156435999,0.11182240551997999,0.063084428586156,0.35094318128361995,0.061675021289116,0.09096256606726,0.10795417865971998,0.02161078450117,0.069166892398436,0.09269757396545998,0.16830340933199997,0.16756736853641999,0.019963138454407996,0.08940870216548,0.12164316168032,0.25980482146455997,0.20687714440087998,0.03541892511266399,0.34242100592462,0.16906925863331998,0.07807382677767999,0.11138062817849999,0.10623522149537999,0.06246181297651999,0.09451359985361998,0.19804618349524,0.26049423869988,0.22894231753441996,0.07777039147565999,0.30351096976534,0.22595076647117998,0.03275572620496,0.02034392300722,0.12146966089049999,0.07261810590659999,0.07331073328869199,0.08641562246092,0.08657918708215999,0.061502819844417994,0.12743136203849997,0.14632384011238,0.11386696328548,0.070544962548416,0.16126554469471996,0.019009877727255996,0.15536575352017998,0.032889405888393994,0.13047870850992,0.033851685599334,0.12968840094748,0.08448571279441999,0.024990228299359995,0.11430721198563999,0.11352684059177999,0.04730900302788799,0.10837914094668,0.06953193194565199,0.17139508640169998,0.07910565966868,0.031202015167311997,0.05738534801693199,0.26685032930844,0.045695827842891994,0.03367100019531,0.25644257488121996,0.18037279687406,0.11474211044117999,0.11047720115837999,0.199258396062,0.1711505037905,0.027770903292505998,0.20450927899619997,0.30394281093824,0.26674867466066,0.19251173759617998,0.08164243993921999,0.15652828524404,0.04957353227933599,0.09561957184863999,0.16714775649407998,0.11653749967152,0.26344528076814
AHRR,0.15752362075707316,0.09986083044839024,0.24617582197268292,0.04581820318048781,0.2336296017892683,0.1920648431278049,0.12868934330731707,0.21994178674341466,0.11768926873560975,0.1530591510380488,0.05479295052780488,0.02853585693521951,0.1972231225287805,0.19753296928585368,0.3365193129619512,0.17284507966829268,0.3455841320409756,0.04877523239765854,0.036512918312585366,0.21275045968390244,0.10285759416663415,0.041989897235121955,0.0788090594355122,0.07870045866185367,0.10567112624780488,0.20283433406634147,0.1924055716214634,0.09355714743746342,0.03128319916097561,0.23214007269463413,0.07605626143629268,0.11041456098731707,0.10439879870048782,0.19789943256,0.21575525265365855,0.19539801189658537,0.07740836680312195,0.15423883337560976,0.0728207818942439,0.17459195656780488,0.18723493952585366,0.030998263671414637,0.07109469869736586,0.11253304811707317,0.04928426635570732,0.5157425006263414,0.13748446188682928,0.23160273047804877,0.49961502839024396,0.037485178319414635,0.22033707297170732,0.16199426682341464,0.07762042139434146,0.06258770672019512,0.04235090473580488,0.05336672899317073,0.14970642383609756,0.2109891713073171,0.23636984121560975,0.2616413956546342,0.5187575875082927,0.21583863334243905,0.1512216877112195,0.10284277093307317,0.16339423888195123,0.08541610403882927,0.5654126857502438,0.22459669383804876,0.22500227397853656,0.4115289923453659,0.06643968866360976,0.2910356619278049,0.13950721563317073,0.0418171653884878,0.022438155107317073,0.17082335531317072,0.12239461600000001,0.08792884800565855,0.37872744113560974,0.13136061352195122,0.0721246046124878,0.18866682271219512,0.05607639550029269,0.10709374491317072,0.07264630008253659,0.3006059120956098,0.06250864947453659,0.10373998831999999,0.11360876194146342,0.0467883014657561,0.11084896408195122,0.12438237044487806,0.18320075533658536,0.27589846404487806,0.10180627691414634,0.2387292058907317,0.059903877932682925,0.0692251183644878,0.21154710134829272,0.2837599247882927,0.04843543035609756,0.19540110007024392,0.15007906345756097,0.2673555463141464,0.12942432863804879,0.09202510448546342,0.06610215128273171,0.19117339033170733,0.19350907900878048,0.2995209337502439,0.16055106033365854,0.29753420869658537,0.06621363435180488,0.1723056786692683,0.33085560247219514,0.19295011957658537,0.03876965268312195,0.1749584198419512,0.07652875200604878,0.2761969874985366,0.19627402382439024,0.10147543057619512,0.20411901430829268,0.1634426202692683
AIP,0.15948027083582858,0.0942936933967943,0.14014599653468574,0.08404450818586287,0.12941620368108575,0.06700767980486859,0.1350986624774286,0.3018918448408572,0.1698420055367429,0.22810067374142862,0.45758605406948577,0.07578654002353144,0.19506857666640004,0.10899615782952002,0.24391595302177146,0.1544991423609143,0.4186942018928572,0.07165183308694287,0.09191163898666858,0.14632668039137145,0.38255717521880006,0.16880179240400003,0.2829839793751429,0.18451944650360003,0.07487032209161715,0.45712598137862864,0.3772685835309715,0.07081034891408002,0.030535361130742858,0.15565717898765716,0.30443346592571435,0.1464097179014286,0.09997379572325715,0.17693946838960004,0.2575004408157143,0.06302917315746857,0.12190691966348573,0.07348157584233715,0.07939609081543429,0.14660833464845716,0.2858510177291429,0.040314598919891434,0.12380219472411431,0.27313954591931433,0.08385632723401715,0.3957893146592572,0.06763124662025716,0.1394267121570286,0.2300341011715429,0.04274041634207429,0.06639050912201143,0.22069799193268574,0.17198190461348573,0.03509894558549143,0.038528955815108575,0.8364312281630287,0.11604492030485715,0.17961350063914286,0.11628056729285714,0.3186609333583429,0.11226446934022857,0.12719438922280002,0.35903511730234294,0.11754408399994287,0.02446834889255429,0.21654275004428575,0.2982673697397143,0.2978757468882286,0.16512457726268573,0.29506369283142864,0.05939661873102287,0.10434381300929144,0.05551966471416572,0.059084105939794296,0.033407673488760004,0.08763969573278287,0.1271551147248,0.15323113713977143,0.07851061920481144,0.13715103553005717,0.08405617832241144,0.1908123432117143,0.22383882964417146,0.20190907208948575,0.05815554459422286,0.45640781912948575,0.09771495102400002,0.1163164754053143,0.06348576724993144,0.12642236480497146,0.2001596737357143,0.08796556185333144,0.27422239993560005,0.15907630457068572,0.25114133852525716,0.36750494332817146,0.14078112127377146,0.12969561368114288,0.8212521957502859,0.24436031591342858,0.11690334861828573,0.21239311879845718,0.06197594333396001,0.20875742241217146,0.06405827721792001,0.042801908984657154,0.36535718935182865,0.09918325618494288,0.2379047105707429,0.2114325767902286,0.10377410836258859,0.30423933769274286,0.08740640521466288,0.15998859505280003,0.27436378812840007,0.18275209409360002,0.10526328511389715,0.1288686049661143,0.0655805567604,0.12598810106994288,0.19026923301080004,0.1571069690281143,0.4735258896149144,0.25251370169822857
AIRE,0.14953605745473336,0.13410627338053335,0.20471652576606666,0.08885784319205779,0.5276377126982666,0.12264743062811112,0.7650609635871333,0.2102345725972,0.26556897065640006,0.2540420864936889,0.1583535549684,0.07876105562166445,0.19947399087495557,0.49150214667008896,0.11592360077202221,0.4926822747370667,0.15777464526446666,0.12967800454697778,0.040702706264699996,0.3802031309318,0.17335389735471113,0.14113907816531113,0.2942534445414667,0.13966447579806668,0.053450877970448896,0.2205500965701778,0.15381039654042222,0.08185125108173556,0.10078472161263112,0.12418003550904444,0.3089303113706667,0.2744734719406,0.09562985975182668,0.14102530400384444,0.1614656129144,0.08041211948247778,0.053367220498782224,0.2030244139724889,0.07290034778658444,0.11060878582539112,0.17741518874588888,0.04515306067077556,0.045275423666,0.2708795469578,0.07185273315472666,0.22362311436273333,0.05798098583284667,0.15707192250246665,0.2882579924053556,0.059805164888362225,0.048988030715271115,0.1314972756974889,0.30099512132484446,0.00818674248595911,0.016529266338491114,0.10445605764254667,0.1709724479946,0.556456038538,0.5314703403335557,0.2248110504604,0.2924263653602667,0.15121701491875555,0.09696402910996668,0.09396864545111779,0.10146547034540666,0.09160035819988223,0.31360732175331113,0.22117362359233333,0.13473872386633334,0.23292470977911112,0.2246013490647556,0.3004842530312,0.21557191928953334,0.05934337564476222,0.047392850045531114,0.08343962761044667,0.2858464263554445,0.1914997606756889,0.18979872541846668,0.08190066476166667,0.15546458361351112,0.24343878081817777,0.08007537027319556,0.07323921631848224,0.12110701771648888,0.3886335732098889,0.08151338643949779,0.3247638821747778,0.03837234373395334,0.3451829978591778,0.04351850521770445,0.07729158424601557,0.3056877477688667,0.18368503738906666,0.10591281308250222,0.25781001901755557,0.1205348006102889,0.040142758921011115,0.17131265504604445,0.3249657755397333,0.09448754486204222,0.23776011164144445,0.1487117525005778,0.12469090380268888,0.05373152090206667,0.03506954675255333,0.07198725436916667,0.19122313330271112,0.21878659706744444,0.3814133756885778,0.21569015518282222,0.42134922179633333,0.04290390165919333,0.23538647031202223,0.12379855743824444,0.6857380643857556,0.24908175614033334,0.08078657032565778,0.15926040196126667,0.18236882650151112,0.2931413578847778,0.1489593786167111,0.5399331301673556,0.4272788633880667
AKNA,0.19607205755332516,0.14812615287696654,0.21887909844900688,0.25593249076270447,0.3685265840906517,0.5527772852996655,0.3750378451548931,0.36143974193785855,0.6473308686215,0.5381323439778276,1.1116305484653553,0.22503673688196932,1.2925860479424103,1.3711996324931655,0.2978078136457441,0.30014467286526414,1.016630889799893,0.09577201653866241,0.12781065861835308,1.2953956031309035,1.1967266150259241,0.22623466502251757,0.3350835241548948,1.0843084336681654,0.3448367457004038,0.21092204963795963,0.18560979205435654,0.16446150390824482,0.2368926280915938,0.4633967370111896,0.7568747419183034,0.5347220260281587,0.3605008252871586,0.8944494142275758,0.5553745949617551,0.9466833980136449,0.1499338372331993,0.37344420501596554,0.26929208756617035,0.26938633896942066,0.600762761175862,0.15953381031388136,0.16288225329653103,0.44927341605085175,0.35363666106799896,0.7305670887896861,0.3850385665684793,2.1123933871302376,0.8676273355010655,0.2065620228921803,0.3181114365444062,0.3051759710555669,0.9126161923349897,0.2143179780604148,0.05842507786980344,0.13899779655071656,0.6395533291624448,1.3301283244431965,0.9810815628182171,0.3666523481710552,1.1559287079930172,0.5167423117745241,0.21046877953072518,0.3444298818184338,0.059787046620588966,0.2903094310146365,0.8566517236187449,0.45218369792984137,0.6625405988864793,0.27136274053223514,0.4189079162479448,1.1858409376886896,0.7555149315966,0.22071484238330652,0.03129218535547517,0.42758480115786207,0.49235566052894825,0.4008958255580793,0.33272112352457034,0.5350745694448965,0.42287582837714827,0.3569336614908593,0.20071268007977344,0.38373631435563105,0.23462375938815896,0.16928055657214414,0.12077705771625102,0.9446940458763379,0.4155911302251655,0.5307649060443654,0.4299051124210862,0.34200704517381136,0.8667999376862724,0.6267862211420069,0.9552667509966725,0.46078503782188623,1.0495469333014449,0.06364559834296758,0.7278186890918518,0.7629651093115414,0.20145625889854618,0.14123464855610068,0.2575322464506979,0.6840457473074931,0.16787254133427448,0.289529518639649,0.2984524644649221,0.39659335692115516,1.4579181182470895,0.5860854434177931,0.6433557617286896,0.500683599403931,0.2890481889543476,0.367598459585362,1.0685734856598827,0.5179546294422862,0.6041586895983172,0.24844849765881066,0.4291712465331827,1.0731133814958345,1.621098954233307,1.1605765252830724,1.0154689354773794,1.2274590477727827
